00002.ppm;892;476;1006;592;39
00005.ppm;1172;164;1284;278;9
00010.ppm;1193;358;1269;436;12
00011.ppm;720;338;770;398;1
00011.ppm;710;265;780;342;21
00013.ppm;1043;281;1120;356;2
00023.ppm;998;292;1074;371;1
00023.ppm;46;350;136;444;23
00023.ppm;945;435;1006;492;23
00039.ppm;938;167;1022;251;12
00039.ppm;953;252;1015;313;35
00040.ppm;1040;310;1130;400;33
00040.ppm;1017;202;1141;313;13
00046.ppm;1045;126;1166;247;12
00066.ppm;569;483;618;535;38
00074.ppm;383;527;421;569;38
00074.ppm;439;401;488;452;14
00074.ppm;929;378;981;431;14
00078.ppm;1211;206;1319;305;29
00078.ppm;800;462;821;483;13
00081.ppm;966;228;1044;299;13
00081.ppm;233;499;249;521;38
00083.ppm;1054;208;1152;296;13
00083.ppm;1071;297;1142;368;40
00098.ppm;1206;244;1296;323;13
00098.ppm;594;286;668;353;13
00114.ppm;1169;421;1231;484;3
00115.ppm;850;218;950;317;14
00115.ppm;330;523;351;545;38
00121.ppm;91;308;185;416;7
00132.ppm;314;306;393;377;18
00138.ppm;157;179;235;268;15
00138.ppm;1302;399;1336;432;15
00149.ppm;1131;274;1221;361;4
00149.ppm;1110;158;1231;273;12
00149.ppm;703;461;725;483;12
00163.ppm;753;473;825;545;38
00169.ppm;1089;153;1212;276;2
00185.ppm;967;150;1076;257;2
00205.ppm;1202;332;1326;449;25
00207.ppm;870;313;942;378;25
00208.ppm;638;239;732;319;18
00214.ppm;1185;130;1295;236;14
00214.ppm;1214;241;1288;312;33
00224.ppm;932;188;1024;278;28
00224.ppm;923;276;977;341;1
00224.ppm;977;263;1042;333;9
00225.ppm;856;268;924;334;1
00226.ppm;1152;224;1220;290;1
00227.ppm;1228;259;1306;329;18
00228.ppm;937;295;998;356;1
00236.ppm;1081;274;1199;402;14
00241.ppm;838;400;880;442;2
00253.ppm;1186;134;1301;244;9
00254.ppm;1172;270;1237;336;2
00254.ppm;1264;368;1295;398;23
00255.ppm;183;503;260;581;38
00260.ppm;720;266;784;330;0
00262.ppm;894;282;953;341;36
00262.ppm;1042;37;1146;139;12
00279.ppm;617;484;673;540;38
00280.ppm;1054;392;1083;422;2
00280.ppm;1131;357;1182;408;12
00284.ppm;980;269;1059;347;12
00284.ppm;993;347;1051;404;2
00287.ppm;1113;370;1154;411;2
00298.ppm;1220;168;1327;264;22
00298.ppm;1238;256;1314;331;2
00298.ppm;69;445;107;475;11
00304.ppm;504;385;553;434;35
00305.ppm;765;368;827;422;11
00305.ppm;549;348;597;393;18
00333.ppm;116;414;176;477;14
00333.ppm;753;387;808;445;14
00410.ppm;367;615;423;671;38
00411.ppm;185;602;238;662;38
00411.ppm;110;557;139;588;17
00411.ppm;496;552;529;587;17
00423.ppm;365;469;451;547;25
00423.ppm;1151;445;1245;533;25
00426.ppm;1077;391;1197;502;25
00434.ppm;167;194;257;286;5
